"Product Id","Product Handle","Product Title","Product Subtitle","Product Description","Product Status","Product Thumbnail","Product Weight","Product Length","Product Width","Product Height","Product HS Code","Product Origin Country","Product MID Code","Product Material","Shipping Profile Id","Product Sales Channel 1","Product Collection Id","Product Type Id","Product Tag 1","Product Discountable","Product External Id","Variant Id","Variant Title","Variant SKU","Variant Barcode","Variant Allow Backorder","Variant Manage Inventory","Variant Weight","Variant Length","Variant Width","Variant Height","Variant HS Code","Variant Origin Country","Variant MID Code","Variant Material","Variant Price EUR","Variant Price USD","Variant Option 1 Name","Variant Option 1 Value","Product Image 1 Url","Product Image 2 Url"
"","bookends","Bookend Pair","","Solid cast iron bookends, stylish and sturdy.","published","https://picsum.photos/seed/bookends/200/300","2000","6","8","10","","","","","","","","","","TRUE","","","Black","BKEND-BLK","","FALSE","TRUE","2000","6","8","10","","","","","22.50","26.10","Color","Black","https://picsum.photos/seed/bookends/200/300",""
"","pen-stand","Ceramic Pen Holder","","Hand-painted ceramic pen stand with floral design.","published","https://picsum.photos/seed/penstand/200/300","350","5","5","8","","","","","","","","","","TRUE","","","Medium","PENSTAND-FLOR","","FALSE","TRUE","350","5","5","8","","","","","8.99","10.45","Size","Medium","https://picsum.photos/seed/penstand/200/300",""
"","ruler","Foldable Ruler","","6-inch foldable ruler, double-sided with metric and imperial.","published","https://picsum.photos/seed/ruler/200/300","50","1","6","0.5","","","","","","","","","","TRUE","","","Silver","RULER-FOLD","","FALSE","TRUE","50","1","6","0.5","","","","","2.00","2.35","Color","Silver","https://picsum.photos/seed/ruler/200/300",""
"","spiral-notebook","Spiral Notebook","","5-subject spiral notebook with pockets.","published","https://picsum.photos/seed/spiral/200/300","450","8","10","2","","","","","","","","","","TRUE","","","Blue","NB-SPI-5","","FALSE","TRUE","450","8","10","2","","","","","3.50","4.05","Color","Blue","https://picsum.photos/seed/spiral/200/300",""
"","glue-stick","Glue Stick Set","","Set of 3 high-tack glue sticks, 15g each.","published","https://picsum.photos/seed/glue/200/300","45","2","2","5","","","","","","","","","","TRUE","","","Set of 3","GLUE-3","","FALSE","TRUE","45","2","2","5","","","","","2.10","2.45","Size","Set of 3","https://picsum.photos/seed/glue/200/300",""
"","file-folder","Expandable File Folder","","12-Pocket expanding file folder with a flap.","published","https://picsum.photos/seed/folder/200/300","500","10","15","2","","","","","","","","","","TRUE","","","Green","FOLDER-EXP","","FALSE","TRUE","500","10","15","2","","","","","6.25","7.25","Color","Green","https://picsum.photos/seed/folder/200/300",""
"","index-cards","Index Cards","","100 blank white index cards (3x5).","published","https://picsum.photos/seed/indexcard/200/300","100","3","5","1","","","","","","","","","","TRUE","","","3x5","IC-100","","FALSE","TRUE","100","3","5","1","","","","","1.80","2.10","Size","3x5","https://picsum.photos/seed/indexcard/200/300",""
"","highlighter","Highlighter Set","","Set of 6 fluorescent highlighters.","published","https://picsum.photos/seed/highlighter/200/300","100","5","5","10","","","","","","","","","","TRUE","","","Set of 6","HL-6","","FALSE","TRUE","100","5","5","10","","","","","3.99","4.65","Size","Set of 6","https://picsum.photos/seed/highlighter/200/300",""
"","chips-variety","Party Snack Box","","Variety pack of chips and crisps (20 small bags).","published","https://picsum.photos/seed/chips/200/300","1500","20","15","8","","","","","","","","","","TRUE","","","Variety Pack","SNACK-CHIP","","FALSE","TRUE","1500","20","15","8","","","","","15.00","17.40","Size","Variety Pack","https://picsum.photos/seed/chips/200/300",""
"","cookie-biscuit","Chocolate Chip Cookies","","Gourmet cookies with dark chocolate chunks (12 pcs).","published","https://picsum.photos/seed/cookie/200/300","500","10","8","5","","","","","","","","","","TRUE","","","12 Pack","BIS-CC","","FALSE","TRUE","500","10","8","5","","","","","8.00","9.30","Size","12 Pack","https://picsum.photos/seed/cookie/200/300",""
"","chocolate-bar","Premium Chocolate Bar","","70% dark chocolate bar, 150g. Single-origin.","published","https://picsum.photos/seed/chocolate/200/300","150","4","2","1","","","","","","","","","","TRUE","","","Dark","CHOCO-DARK","","FALSE","TRUE","150","4","2","1","","","","","3.50","4.05","Flavor","Dark","https://picsum.photos/seed/chocolate/200/300",""
"","chocolate-bar","Premium Chocolate Bar","","Milk chocolate with hazelnuts, 150g.","published","https://picsum.photos/seed/chocolatehazel/200/300","150","4","2","1","","","","","","","","","","TRUE","","","Milk Hazelnut","CHOCO-MILK-H","","FALSE","TRUE","150","4","2","1","","","","","3.50","4.05","Flavor","Milk Hazelnut","https://picsum.photos/seed/chocolatehazel/200/300",""
"","gummy-candies","Gummy Bear Bag","","Classic gummy bears, 1kg bag. Assorted fruit flavors.","published","https://picsum.photos/seed/gummy/200/300","1000","8","5","3","","","","","","","","","","TRUE","","","1kg","GUMMY-1KG","","FALSE","TRUE","1000","8","5","3","","","","","9.99","11.60","Size","1kg","https://picsum.photos/seed/gummy/200/300",""
"","popcorn","Popcorn Tub","","Butter-flavored microwave popcorn, pack of 6.","published","https://picsum.photos/seed/popcorn/200/300","300","6","6","4","","","","","","","","","","TRUE","","","6 Pack","POP-6","","FALSE","TRUE","300","6","6","4","","","","","5.00","5.80","Size","6 Pack","https://picsum.photos/seed/popcorn/200/300",""
"","energy-drink","Energy Drink Can","","Sugar-free energy drink, 250ml can.","published","https://picsum.photos/seed/energydrink/200/300","250","2","2","10","","","","","","","","","","TRUE","","","ZERO","ENG-ZERO","","FALSE","TRUE","250","2","2","10","","","","","2.25","2.60","Flavor","ZERO","https://picsum.photos/seed/energydrink/200/300",""
"","energy-drink","Energy Drink Can","","Classic energy drink, 250ml can.","published","https://picsum.photos/seed/energydrinkclassic/200/300","250","2","2","10","","","","","","","","","","TRUE","","","Classic","ENG-CLASSIC","","FALSE","TRUE","250","2","2","10","","","","","2.25","2.60","Flavor","Classic","https://picsum.photos/seed/energydrinkclassic/200/300",""
"","soda","Soda Can Pack","","Pack of 6 classic cola soda cans.","published","https://picsum.photos/seed/soda/200/300","1500","6","6","4","","","","","","","","","","TRUE","","","6 Pack","SODA-COLA-6","","FALSE","TRUE","1500","6","6","4","","","","","4.50","5.25","Size","6 Pack","https://picsum.photos/seed/soda/200/300",""
"","nuts-mix","Assorted Nuts Mix","","Mix of almonds, cashews, and walnuts, 500g.","published","https://picsum.photos/seed/nuts/200/300","500","5","5","3","","","","","","","","","","TRUE","","","500g","NUTS-MIX","","FALSE","TRUE","500","5","5","3","","","","","10.50","12.20","Size","500g","https://picsum.photos/seed/nuts/200/300",""
"","trail-mix","Trail Mix Pack","","Energy trail mix with dried fruit and seeds, 50g x 10.","published","https://picsum.photos/seed/trail/200/300","500","10","10","2","","","","","","","","","","TRUE","","","10 Pack","TRAIL-10","","FALSE","TRUE","500","10","10","2","","","","","12.00","13.90","Size","10 Pack","https://picsum.photos/seed/trail/200/300",""
"","rice-cakes","Savory Rice Cakes","","Lightly salted rice cakes, 100g pack.","published","https://picsum.photos/seed/ricecake/200/300","100","4","4","2","","","","","","","","","","TRUE","","","Salted","RICE-SALT","","FALSE","TRUE","100","4","4","2","","","","","1.50","1.75","Flavor","Salted","https://picsum.photos/seed/ricecake/200/300",""
"","rice-cakes","Savory Rice Cakes","","Cheese flavored rice cakes, 100g pack.","published","https://picsum.photos/seed/ricecakecheese/200/300","100","4","4","2","","","","","","","","","","TRUE","","","Cheese","RICE-CHEESE","","FALSE","TRUE","100","4","4","2","","","","","1.50","1.75","Flavor","Cheese","https://picsum.photos/seed/ricecakecheese/200/300",""
"","bottled-water","Electrolyte Water","","500ml electrolyte-infused water, pack of 6.","published","https://picsum.photos/seed/water/200/300","3000","6","6","6","","","","","","","","","","TRUE","","","6 Pack","WATER-ELEC-6","","FALSE","TRUE","3000","6","6","6","","","","","7.20","8.35","Size","6 Pack","https://picsum.photos/seed/water/200/300",""
"","jerky","Beef Jerky Pack","","High-protein beef jerky, original flavor, 85g.","published","https://picsum.photos/seed/jerky/200/300","85","5","5","1","","","","","","","","","","TRUE","","","Original","JERKY-ORIG","","FALSE","TRUE","85","5","5","1","","","","","5.99","6.95","Flavor","Original","https://picsum.photos/seed/jerky/200/300",""
"","jerky","Beef Jerky Pack","","High-protein beef jerky, spicy flavor, 85g.","published","https://picsum.photos/seed/jerkyspicy/200/300","85","5","5","1","","","","","","","","","","TRUE","","","Spicy","JERKY-SPICY","","FALSE","TRUE","85","5","5","1","","","","","6.25","7.25","Flavor","Spicy","https://picsum.photos/seed/jerkyspicy/200/300",""
"","instant-noodles","Instant Noodles Cup","","Spicy ramen noodles in a cup, ready in 3 mins.","published","https://picsum.photos/seed/ramen/200/300","100","4","4","4","","","","","","","","","","TRUE","","","Spicy","RAMEN-SPICY","","FALSE","TRUE","100","4","4","4","","","","","1.10","1.30","Flavor","Spicy","https://picsum.photos/seed/ramen/200/300",""
"","instant-noodles","Instant Noodles Cup","","Chicken flavor instant noodles, ready in 3 mins.","published","https://picsum.photos/seed/ramenchicken/200/300","100","4","4","4","","","","","","","","","","TRUE","","","Chicken","RAMEN-CHICK","","FALSE","TRUE","100","4","4","4","","","","","1.10","1.30","Flavor","Chicken","https://picsum.photos/seed/ramenchicken/200/300",""
"","toothpaste","Whitening Toothpaste","","Fluoride toothpaste for sensitive teeth and whitening, 100ml.","published","https://picsum.photos/seed/toothpaste/200/300","150","5","5","5","","","","","","","","","","TRUE","","","100ml","TP-WHITE","","FALSE","TRUE","150","5","5","5","","","","","4.50","5.25","Size","100ml","https://picsum.photos/seed/toothpaste/200/300",""
"","toothbrush","Sonic Toothbrush","","Electric toothbrush with 2 brushing modes.","published","https://picsum.photos/seed/toothbrush/200/300","200","3","3","20","","","","","","","","","","TRUE","","","White","TB-SONIC","","FALSE","TRUE","200","3","3","20","","","","","24.00","27.80","Color","White","https://picsum.photos/seed/toothbrush/200/300",""
"","shampoo","Volumizing Shampoo","","Natural volumizing shampoo for fine hair, 500ml.","published","https://picsum.photos/seed/shampoo/200/300","500","5","5","15","","","","","","","","","","TRUE","","","500ml","SHAMPOO-VOL","","FALSE","TRUE","500","5","5","15","","","","","8.50","9.90","Size","500ml","https://picsum.photos/seed/shampoo/200/300",""
"","conditioner","Smoothing Conditioner","","Conditioner for smooth and frizz-free hair, 500ml.","published","https://picsum.photos/seed/conditioner/200/300","500","5","5","15","","","","","","","","","","TRUE","","","500ml","COND-SMOOTH","","FALSE","TRUE","500","5","5","15","","","","","8.50","9.90","Size","500ml","https://picsum.photos/seed/conditioner/200/300",""
"","soap","Mild Facial Soap","","Hypoallergenic facial soap bar, 100g.","published","https://picsum.photos/seed/soap/200/300","100","3","3","1","","","","","","","","","","TRUE","","","100g","SOAP-FACE","","FALSE","TRUE","100","3","3","1","","","","","2.50","2.90","Size","100g","https://picsum.photos/seed/soap/200/300",""
"","lotion","Moisturizing Lotion","","Hydrating body lotion with aloe vera, 250ml.","published","https://picsum.photos/seed/lotion/200/300","250","5","5","5","","","","","","","","","","TRUE","","","250ml","LOTION-ALOE","","FALSE","TRUE","250","5","5","5","","","","","6.00","6.95","Size","250ml","https://picsum.photos/seed/lotion/200/300",""
"","deodorant","Roll-on Deodorant","","48-hour protection, aluminum-free roll-on.","published","https://picsum.photos/seed/deodorant/200/300","75","3","3","10","","","","","","","","","","TRUE","","","50ml","DEO-48","","FALSE","TRUE","75","3","3","10","","","","","3.25","3.80","Size","50ml","https://picsum.photos/seed/deodorant/200/300",""
"","sunscreen","Sunscreen SPF 50","","High-protection sunscreen, water-resistant, 200ml.","published","https://picsum.photos/seed/sunscreen/200/300","200","4","4","5","","","","","","","","","","TRUE","","","200ml","SUN-SPF50","","FALSE","TRUE","200","4","4","5","","","","","14.00","16.25","Size","200ml","https://picsum.photos/seed/sunscreen/200/300",""
"","nail-clipper","Nail Clipper Set","","Stainless steel nail clipper and file set.","published","https://picsum.photos/seed/nailclipper/200/300","100","2","2","1","","","","","","","","","","TRUE","","","Set","NAIL-SET","","FALSE","TRUE","100","2","2","1","","","","","6.50","7.55","Size","Set","https://picsum.photos/seed/nailclipper/200/300",""
"","hairbrush","Detangling Hairbrush","","Paddle brush with flexible bristles for detangling.","published","https://picsum.photos/seed/hairbrush/200/300","150","5","8","3","","","","","","","","","","TRUE","","","Black","BRUSH-DETANGLE","","FALSE","TRUE","150","5","8","3","","","","","9.00","10.45","Color","Black","https://picsum.photos/seed/hairbrush/200/300",""
"","perfume","Eau de Toilette","","50ml floral fragrance eau de toilette.","published","https://picsum.photos/seed/perfume/200/300","150","3","3","15","","","","","","","","","","TRUE","","","50ml","PERFUME-FLOR","","FALSE","TRUE","150","3","3","15","","","","","24.00","27.80","Size","50ml","https://picsum.photos/seed/perfume/200/300",""
"","shower-gel","Shower Gel","","Refreshing citrus shower gel, 500ml.","published","https://picsum.photos/seed/showergel/200/300","550","5","5","15","","","","","","","","","","TRUE","","","500ml","GEL-CITRUS","","FALSE","TRUE","550","5","5","15","","","","","7.20","8.35","Size","500ml","https://picsum.photos/seed/showergel/200/300",""
"","toilet-paper","Toilet Paper Pack","","Pack of 12 premium toilet paper rolls (3-ply).","published","https://picsum.photos/seed/tp/200/300","1500","20","15","15","","","","","","","","","","TRUE","","","12 Pack","TP-12","","FALSE","TRUE","1500","20","15","15","","","","","9.00","10.45","Size","12 Pack","https://picsum.photos/seed/tp/200/300",""
"","paper-towel","Paper Towel Rolls","","6-pack of absorbent paper towels.","published","https://picsum.photos/seed/papertowel/200/300","1000","10","10","10","","","","","","","","","","TRUE","","","6 Pack","PT-6","","FALSE","TRUE","1000","10","10","10","","","","","8.50","9.90","Size","6 Pack","https://picsum.photos/seed/papertowel/200/300",""
"","trash-bag","Trash Bags","","30-gallon kitchen trash bags, 50 count.","published","https://picsum.photos/seed/trashbag/200/300","500","5","5","5","","","","","","","","","","TRUE","","","50 Count","TB-50","","FALSE","TRUE","500","5","5","5","","","","","6.00","6.95","Size","50 Count","https://picsum.photos/seed/trashbag/200/300",""
"","wireless-earbuds","Bluetooth Earbuds","","True wireless stereo earbuds with noise-canceling.","published","https://picsum.photos/seed/earbuds/200/300","100","5","5","3","","","","","","","","","","TRUE","","","Black","EAR-BT-NC","","FALSE","TRUE","100","5","5","3","","","","","45.00","52.20","Color","Black","https://picsum.photos/seed/earbuds/200/300",""
"","wireless-earbuds","Bluetooth Earbuds","","True wireless stereo earbuds with noise-canceling.","published","https://picsum.photos/seed/earbudswhite/200/300","100","5","5","3","","","","","","","","","","TRUE","","","White","EAR-BT-NC-W","","FALSE","TRUE","100","5","5","3","","","","","45.00","52.20","Color","White","https://picsum.photos/seed/earbudswhite/200/300",""
"","powerbank","10000mAh Power Bank","","Compact power bank with fast charging support.","published","https://picsum.photos/seed/powerbank/200/300","300","8","5","2","","","","","","","","","","TRUE","","","Black","PB-10K","","FALSE","TRUE","300","8","5","2","","","","","29.99","34.80","Color","Black","https://picsum.photos/seed/powerbank/200/300",""
"","usb-cable","USB-C Cable","","6ft USB-C to USB-C braided cable.","published","https://picsum.photos/seed/usbc/200/300","50","1","1","0.5","","","","","","","","","","TRUE","","","Black","CABLE-C6","","FALSE","TRUE","50","1","1","0.5","","","","","6.50","7.55","Color","Black","https://picsum.photos/seed/usbc/200/300",""
"","phone-stand","Adjustable Phone Stand","","Foldable phone stand for desk and car.","published","https://picsum.photos/seed/phonestand/200/300","100","5","5","2","","","","","","","","","","TRUE","","","Silver","STAND-ADJ","","FALSE","TRUE","100","5","5","2","","","","","12.00","13.90","Color","Silver","https://picsum.photos/seed/phonestand/200/300",""
"","car-charger","Car Charger Adapter","","Dual USB car charger with quick charge 3.0.","published","https://picsum.photos/seed/carcharger/200/300","80","3","3","3","","","","","","","","","","TRUE","","","Black","CHARGER-DUAL","","FALSE","TRUE","80","3","3","3","","","","","16.00","18.60","Color","Black","https://picsum.photos/seed/carcharger/200/300",""
"","webcam","HD Webcam","","1080p webcam with built-in microphone.","published","https://picsum.photos/seed/webcam/200/300","200","10","10","5","","","","","","","","","","TRUE","","","Black","CAM-1080","","FALSE","TRUE","200","10","10","5","","","","","39.00","45.25","Color","Black","https://picsum.photos/seed/webcam/200/300",""
"","wireless-mouse","Wireless Mouse","","Ergonomic wireless mouse with silent clicks.","published","https://picsum.photos/seed/mouse/200/300","80","4","6","3","","","","","","","","","","TRUE","","","Grey","MOUSE-WL","","FALSE","TRUE","80","4","6","3","","","","","18.00","20.90","Color","Grey","https://picsum.photos/seed/mouse/200/300",""
"","keyboard","Mechanical Keyboard","","Blue switch mechanical gaming keyboard (RGB).","published","https://picsum.photos/seed/keyboard/200/300","1000","18","6","4","","","","","","","","","","TRUE","","","Black","KEY-MECH","","FALSE","TRUE","1000","18","6","4","","","","","75.00","87.00","Color","Black","https://picsum.photos/seed/keyboard/200/300",""
"","speaker","Portable Speaker","","Waterproof bluetooth speaker with 20h battery.","published","https://picsum.photos/seed/speaker/200/300","500","6","6","8","","","","","","","","","","TRUE","","","Blue","SPK-BT-WP","","FALSE","TRUE","500","6","6","8","","","","","49.00","56.85","Color","Blue","https://picsum.photos/seed/speaker/200/300",""
"","hdmi-cable","HDMI Cable","","6ft HDMI 2.1 cable for 4K support.","published","https://picsum.photos/seed/hdmi/200/300","100","1","1","0.5","","","","","","","","","","TRUE","","","Black","HDMI-6","","FALSE","TRUE","100","1","1","0.5","","","","","9.00","10.45","Color","Black","https://picsum.photos/seed/hdmi/200/300",""
"","sd-card","128GB SD Card","","High-speed microSDXC card for cameras and phones.","published","https://picsum.photos/seed/sdcard/200/300","5","1","1","0.1","","","","","","","","","","TRUE","","","128GB","SD-128","","FALSE","TRUE","5","1","1","0.1","","","","","18.00","20.90","Size","128GB","https://picsum.photos/seed/sdcard/200/300",""
"","fitness-tracker","Fitness Tracker Band","","Activity tracker with heart rate monitor and sleep tracking.","published","https://picsum.photos/seed/fitband/200/300","50","5","5","1","","","","","","","","","","TRUE","","","Black","FIT-BAND","","FALSE","TRUE","50","5","5","1","","","","","35.00","40.60","Color","Black","https://picsum.photos/seed/fitband/200/300",""
"","led-bulb","Smart LED Bulb","","WiFi enabled color-changing LED bulb.","published","https://picsum.photos/seed/ledbulb/200/300","100","2","2","4","","","","","","","","","","TRUE","","","White","LED-SMART","","FALSE","TRUE","100","2","2","4","","","","","15.00","17.40","Color","White","https://picsum.photos/seed/ledbulb/200/300",""
"","router","WiFi Router","","Dual-band WiFi 6 router for high speed internet.","published","https://picsum.photos/seed/router/200/300","800","10","10","5","","","","","","","","","","TRUE","","","Black","ROUTER-W6","","FALSE","TRUE","800","10","10","5","","","","","89.00","103.25","Color","Black","https://picsum.photos/seed/router/200/300",""
"","nonstick-pan","Non-stick Frying Pan","","10-inch non-stick frying pan, dishwasher safe.","published","https://picsum.photos/seed/fryingpan/200/300","800","10","10","3","","","","","","","","","","TRUE","","","10 Inch","PAN-10","","FALSE","TRUE","800","10","10","3","","","","","25.00","29.00","Size","10 Inch","https://picsum.photos/seed/fryingpan/200/300",""
"","nonstick-pan","Non-stick Frying Pan","","12-inch non-stick frying pan, dishwasher safe.","published","https://picsum.photos/seed/fryingpan12/200/300","900","12","12","3","","","","","","","","","","TRUE","","","12 Inch","PAN-12","","FALSE","TRUE","900","12","12","3","","","","","30.00","34.80","Size","12 Inch","https://picsum.photos/seed/fryingpan12/200/300",""
"","cookware-set","Cookware Set","","7-piece cookware set with pots and pans.","published","https://picsum.photos/seed/cookware/200/300","4000","20","20","15","","","","","","","","","","TRUE","","","7-Piece","CW-7","","FALSE","TRUE","4000","20","20","15","","","","","120.00","139.20","Size","7-Piece","https://picsum.photos/seed/cookware/200/300",""
"","knife-set","Kitchen Knife Set","","Stainless steel knife set with block (6 pieces).","published","https://picsum.photos/seed/knife/200/300","1500","15","10","5","","","","","","","","","","TRUE","","","6-Piece","KNIFE-6","","FALSE","TRUE","1500","15","10","5","","","","","45.00","52.20","Size","6-Piece","https://picsum.photos/seed/knife/200/300",""
"","cutting-board","Wooden Cutting Board","","Reversible wooden cutting board, large.","published","https://picsum.photos/seed/cuttingboard/200/300","1200","20","15","2","","","","","","","","","","TRUE","","","Brown","BOARD-WOOD","","FALSE","TRUE","1200","20","15","2","","","","","22.00","25.55","Color","Brown","https://picsum.photos/seed/cuttingboard/200/300",""
"","mixing-bowl","Mixing Bowl Set","","Set of 3 stainless steel mixing bowls with lids.","published","https://picsum.photos/seed/bowl/200/300","800","8","8","5","","","","","","","","","","TRUE","","","Set of 3","BOWL-3","","FALSE","TRUE","800","8","8","5","","","","","18.00","20.90","Size","Set of 3","https://picsum.photos/seed/bowl/200/300",""
"","measuring-cups","Measuring Cups Set","","Set of 4 plastic measuring cups (1, 2, 3, 4 cup).","published","https://picsum.photos/seed/measuringcup/200/300","200","5","5","3","","","","","","","","","","TRUE","","","Set of 4","MC-4","","FALSE","TRUE","200","5","5","3","","","","","7.50","8.70","Size","Set of 4","https://picsum.photos/seed/measuringcup/200/300",""
